Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.9496338899162682,25.673333333333332,1.7117818925954118,36.88
2,1.5911913602189585,41.39111111111111,1.479188179667992,48.64
3,1.3451681476594373,52.35777777777778,1.1857385160047798,58.48
4,1.177637050351636,59.013333333333335,1.0467633190034311,62.24
5,1.0792945744469762,62.66,1.2633146560644801,60.3
6,0.9695357266305522,66.51777777777778,0.971565847155414,67.58
7,0.9005750521001491,69.31111111111112,0.7921275594566441,72.98
8,0.8403910041617398,71.64444444444445,0.8673643711247022,70.56
9,0.7994979288090359,73.18888888888888,0.9118441215044335,69.98
10,0.7541066236286,74.53555555555556,0.6245021212704575,78.96
11,0.7291226329027929,75.48222222222222,0.6799658310564258,77.14
12,0.6912868398411031,76.58888888888889,0.5780539010898976,80.14
13,0.6706134567291222,77.3711111111111,0.6044033215015749,79.44
14,0.6491406650113111,78.05333333333333,0.5783305564258672,79.84
15,0.6298530598340387,78.82444444444444,0.6069664921187148,79.68
16,0.607394269074906,79.54666666666667,0.551156912800632,81.34
17,0.5888986088208515,80.23777777777778,0.5684601607956464,81.48
18,0.5666081054686484,81.02222222222223,0.5514543299810796,81.0
19,0.5520568684759465,81.44888888888889,0.5525768078580687,80.34
20,0.5396708969492465,81.74,0.4907274229239814,83.52
21,0.5262696962295608,82.33777777777777,0.5291350187757348,82.32
22,0.5113257822707634,82.68666666666667,0.5256294917456711,82.86
23,0.49764009759846056,82.98666666666666,0.5315474805575383,82.22
24,0.481909491523931,83.7088888888889,0.4900799670928641,83.2
25,0.46407468881542707,84.15333333333334,0.5153279651569415,82.92
26,0.4481987997000529,84.81333333333333,0.4890926966938791,83.92
27,0.44164485710842366,84.85777777777778,0.46762487801569924,84.26
28,0.4196670231282372,85.63555555555556,0.4508630016559287,85.08
29,0.4082766893446784,86.23777777777778,0.4192665958706337,85.88
30,0.394174165462821,86.47777777777777,0.4494917622849911,84.82
31,0.37683639203367586,87.26666666666667,0.4045734158422373,86.08
32,0.360662722684951,87.58888888888889,0.45728654631330995,85.18
33,0.35141883218999614,88.11777777777777,0.3970819404230842,86.24
34,0.3363101347349584,88.45333333333333,0.41723984310144113,85.92
35,0.316818157332653,89.08444444444444,0.38204172517679913,87.6
36,0.30866977478250524,89.42444444444445,0.3848237780076039,86.8
37,0.2898087812672285,90.11333333333333,0.3814704363481908,87.28
38,0.27342260102953087,90.64666666666666,0.3592406062385704,88.18
39,0.259234179652677,91.00444444444445,0.36278469577620304,88.14
40,0.24803127396047453,91.38444444444444,0.34698794367192665,88.86
41,0.23553420903838493,91.86444444444444,0.3331129748044135,89.34
42,0.2202923602572727,92.27555555555556,0.35717837493630905,88.92
43,0.20983034363863143,92.77555555555556,0.34098711675858195,89.28
44,0.2018773013842292,93.05777777777777,0.34302086967833434,88.94
45,0.18616193635336292,93.57555555555555,0.3321803885547421,89.66
46,0.18071125333451413,93.67777777777778,0.34153393938948834,89.42
47,0.1742575024995445,93.96222222222222,0.3331993729630603,89.7
48,0.17240535319168968,94.09555555555555,0.3307756795724736,89.76
49,0.16844860381520863,94.17777777777778,0.3307259161072441,89.86
50,0.16262310531667687,94.3,0.3337833872890171,89.52
